Order ID,Date,Sum
100756,2/11/2023,2100.0
103532,2/20/2023,1140.0
103928,10/16/2022,1309.8
104589,7/8/2022,262.88
104905,7/5/2022,1983.48
104976,8/4/2022,1793.25
105548,7/6/2022,3156.53
105912,4/10/2022,8559.0
106610,4/24/2022,1665.16
106943,11/17/2022,4754.88
107038,8/28/2022,6568.97
107101,7/26/2022,4199.85
107130,3/22/2023,790.45
107933,1/28/2023,2498.49
109586,5/20/2022,4123.0
111236,7/29/2022,6283.8
111390,1/4/2023,7607.52
111500,8/5/2022,902.35
112394,12/19/2022,4483.2
113493,1/19/2023,984.8
115607,6/24/2022,288.24
115879,6/13/2022,1141.5
116281,7/15/2022,1656.07
118661,10/10/2022,1993.95
124032,2/4/2023,2174.35
124273,10/10/2022,2467.64
125031,9/11/2022,4185.4
125530,6/9/2022,4878.2
126260,4/5/2023,1275.66
129385,5/7/2022,6768.16
129880,1/3/2023,3687.19
130265,2/9/2023,101.22
131177,8/24/2022,145.61
131421,10/27/2022,2281.76
131477,6/15/2022,3890.62
131482,3/29/2023,1490.56
131862,12/22/2022,3272.49
132219,2/19/2023,953.7
132536,7/10/2022,1066.17
132643,4/13/2022,1587.04
132705,11/6/2022,4113.76
132716,3/14/2023,3430.4
132720,12/28/2022,4226.56
133040,8/15/2022,1538.88
134020,11/7/2022,2811.0
134405,3/31/2023,300.33
135136,7/27/2022,401.26
136878,8/18/2022,549.08
138221,2/25/2023,3084.12
138904,11/16/2022,1687.07
138926,9/10/2022,297.09
139643,8/25/2022,5818.25
139838,5/21/2022,1661.75
140115,4/6/2023,3969.28
141154,4/28/2022,378.31
142113,2/14/2023,1110.93
145016,6/9/2022,487.64
145391,12/24/2022,6852.02
147783,12/14/2022,3232.4
150487,5/9/2022,658.49
150561,3/15/2023,1086.78
150883,12/1/2022,6971.67
151883,10/16/2022,3481.04
155132,1/25/2023,4477.72
155579,3/28/2023,379.94
158296,5/6/2022,2058.0
158313,1/15/2023,801.04
159293,6/16/2022,664.75
159695,8/21/2022,373.51
159871,4/27/2022,1200.15
160185,3/9/2023,361.65
160277,8/6/2022,9424.38
161552,12/1/2022,5843.18
162120,7/16/2022,4127.11
162621,6/15/2022,4024.6
162947,4/5/2023,8777.7
163036,4/10/2022,2097.9
165671,1/29/2023,2337.33
165900,12/6/2022,5896.08
166315,11/26/2022,465.75
166702,12/5/2022,300.48
168070,10/26/2022,1138.35
169046,5/26/2022,1812.84
169055,7/16/2022,357.3
171935,3/21/2023,841.8
172669,2/19/2023,5699.54
172853,12/27/2022,4809.97
173681,3/27/2023,217.98
173847,10/27/2022,5972.48
175795,2/21/2023,731.22
175829,3/15/2023,3975.66
176519,8/25/2022,2390.19
177935,6/8/2022,1092.4
179361,12/7/2022,6854.4
180164,10/24/2022,762.68
180832,8/10/2022,1977.92
181343,11/5/2022,268.92
181451,1/2/2023,1258.88
182073,9/5/2022,182.35
182817,1/24/2023,1033.71
183154,9/15/2022,1870.38
183830,12/27/2022,9674.4
183873,10/16/2022,5656.32
185805,1/10/2023,1961.76
186502,11/26/2022,2110.9
190381,12/26/2022,1370.6
192158,9/22/2022,103.04
192722,7/13/2022,796.53
193782,7/18/2022,191.91
193865,7/2/2022,8891.43
194418,12/22/2022,3985.2
195152,4/16/2022,461.88
195973,10/3/2022,8861.8
196030,5/6/2022,375.01
196159,2/8/2023,3309.28
196343,2/5/2023,6559.56
197134,7/4/2022,2411.64
197252,3/5/2023,6051.64
197564,4/11/2022,1713.24
198097,5/8/2022,2498.08
198346,9/8/2022,2249.76
198433,8/3/2022,4702.2
199300,7/21/2022,1924.38
199716,5/8/2022,6910.84
199892,5/31/2022,379.04
203811,8/3/2022,1863.95
205911,9/22/2022,2765.97
206886,5/16/2022,4277.8
207532,4/6/2023,6203.88
207727,8/8/2022,2037.75
209496,1/27/2023,555.88
210510,3/28/2023,2341.2
211007,10/14/2022,2603.79
211712,6/3/2022,3397.02
212582,12/6/2022,1402.56
213610,10/22/2022,4093.8
213978,6/26/2022,2160.66
214172,5/19/2022,779.86
217784,3/7/2023,562.23
217819,11/29/2022,967.36
220906,1/22/2023,1772.96
221283,3/17/2023,5590.6
221370,11/6/2022,7582.9
223027,6/3/2022,7343.83
225953,11/13/2022,930.26
226455,4/11/2022,1652.6
228253,12/3/2022,69.83
228275,1/22/2023,847.35
228594,10/29/2022,1271.6
228987,3/23/2023,2898.09
229596,7/14/2022,428.07
233417,10/29/2022,2450.8
234356,7/22/2022,4913.02
234480,6/10/2022,846.0
237243,9/2/2022,2278.71
237587,6/14/2022,5953.09
238297,8/29/2022,2997.2
238412,1/23/2023,2355.66
239311,10/22/2022,7282.44
239958,11/20/2022,1051.29
240751,8/29/2022,2865.2
240993,12/21/2022,2040.64
242355,8/7/2022,1747.57
243617,6/28/2022,1294.56
243941,2/28/2023,1792.16
244288,11/28/2022,6463.62
244327,5/25/2022,1283.94
246142,2/8/2023,1932.72
246394,6/5/2022,744.44
247235,8/10/2022,6009.51
248606,8/30/2022,579.44
249383,5/10/2022,1385.04
250158,3/13/2023,2743.52
251316,9/8/2022,3054.15
252206,10/19/2022,6772.32
252347,1/9/2023,1316.79
252440,7/13/2022,4653.96
252815,5/6/2022,1535.85
253478,9/16/2022,2866.72
253855,10/18/2022,5454.14
253930,2/5/2023,4846.33
253960,9/29/2022,828.52
254164,6/20/2022,3315.95
255418,10/2/2022,4798.26
255678,8/3/2022,2738.45
256434,7/30/2022,1890.75
257806,8/4/2022,326.05
258322,12/1/2022,6932.38
258970,11/12/2022,3189.9
262390,8/19/2022,526.84
262760,11/8/2022,820.5
262870,11/18/2022,527.03
263104,9/9/2022,1720.98
263515,12/2/2022,581.66
263963,2/18/2023,633.92
265503,6/17/2022,6380.6
268444,9/13/2022,2284.45
270613,12/5/2022,2306.3
272161,4/22/2022,765.04
274107,10/19/2022,5106.24
275025,11/7/2022,3055.92
275338,1/23/2023,4484.74
278915,8/25/2022,2143.4
279297,8/29/2022,1651.5
279516,5/11/2022,684.18
280320,4/15/2022,1756.56
282555,2/22/2023,832.64
283858,1/8/2023,1525.24
284128,4/23/2022,1627.11
285837,7/17/2022,1528.88
286996,10/7/2022,1641.78
287021,11/13/2022,6228.63
289394,1/5/2023,537.92
294652,4/20/2022,5323.08
296097,11/19/2022,5444.66
297394,3/12/2023,774.32
297802,5/18/2022,3353.6
297967,11/28/2022,1093.1
299395,10/2/2022,1496.0
300798,8/15/2022,3475.6
301238,1/5/2023,3256.0
301258,9/7/2022,4197.76
301428,11/27/2022,6112.99
302193,7/14/2022,7859.68
304868,7/21/2022,2442.22
304877,10/6/2022,6663.3
307301,1/3/2023,2226.51
307913,11/4/2022,510.96
307961,4/19/2022,3530.39
308054,10/3/2022,4240.8
308386,2/7/2023,636.76
308734,8/2/2022,3154.48
309560,12/5/2022,3151.54
310010,7/24/2022,695.94
310550,11/20/2022,2180.29
311224,6/7/2022,3155.28
311373,10/18/2022,2046.72
311945,5/29/2022,3138.16
312398,5/14/2022,863.61
312521,11/10/2022,375.54
312659,4/17/2022,312.46
312958,11/5/2022,1229.2
314731,4/14/2022,502.5
315893,6/7/2022,7080.4
316700,7/16/2022,2856.12
317120,11/25/2022,2360.96
317571,11/12/2022,8235.14
317753,9/11/2022,429.06
318195,12/12/2022,5273.64
319871,6/24/2022,7269.12
320210,4/3/2023,2343.3
320672,2/26/2023,4206.73
321520,6/20/2022,2341.71
321638,8/13/2022,4678.3
322306,7/22/2022,3346.28
322468,5/12/2022,1079.6
322560,11/6/2022,4256.85
322605,2/23/2023,3464.5
324415,4/27/2022,298.84
326505,3/27/2023,5118.12
326876,9/24/2022,8467.73
329490,11/3/2022,2476.4
329721,8/1/2022,3141.88
330608,3/8/2023,2409.42
333037,9/12/2022,4235.66
333217,10/22/2022,2641.2
333548,1/12/2023,1815.6
334710,9/7/2022,1295.47
335091,12/2/2022,1479.45
335616,11/4/2022,567.08
335948,11/13/2022,3889.9
336066,8/10/2022,1785.84
336258,6/8/2022,4187.12
336431,11/2/2022,4585.92
337653,8/7/2022,998.64
338279,3/15/2023,6475.35
339409,7/7/2022,377.55
340586,3/20/2023,2681.37
340721,1/27/2023,6211.2
341259,11/18/2022,168.39
344456,10/17/2022,960.4
345538,10/27/2022,2425.12
345981,11/29/2022,1786.9
347061,9/5/2022,385.32
347504,7/14/2022,1297.2
349254,10/18/2022,461.78
351704,7/10/2022,4791.5
352123,4/11/2022,198.58
352259,3/31/2023,4266.9
352335,5/7/2022,2884.74
352387,10/19/2022,5121.0
353552,8/29/2022,3225.46
354744,5/5/2022,4850.67
355212,4/7/2023,139.61
355505,4/12/2022,3923.22
356089,8/8/2022,6789.44
356113,12/12/2022,1263.36
357665,10/16/2022,828.6
357873,2/14/2023,751.92
359617,9/13/2022,5973.4
359755,6/5/2022,1876.96
364890,6/11/2022,2372.69
364985,12/7/2022,4976.25
365368,9/1/2022,538.08
366114,12/31/2022,1339.26
366626,7/2/2022,1070.66
368117,11/6/2022,1063.0
368370,10/31/2022,686.82
369534,1/29/2023,3833.36
370032,12/9/2022,3904.83
372053,10/11/2022,1892.76
372191,3/23/2023,5430.14
372908,6/29/2022,7271.1
373511,11/4/2022,2751.14
374372,7/23/2022,5105.76
376799,6/3/2022,470.34
377613,6/2/2022,5867.04
378645,3/25/2023,709.28
380744,1/18/2023,3726.57
380953,8/5/2022,4738.2
381787,7/18/2022,6401.2
382133,11/12/2022,457.44
384764,1/15/2023,2856.28
385343,7/17/2022,2271.36
386166,3/11/2023,2081.3
386658,1/26/2023,2192.79
